student_id,first_name,last_name,program,year,age,active,entry_term,gpa,credits_completed,advisor,enrollment_id,course_id,term,status,midterm_score,final_score,project_score,attendance_pct,_merge,department,course_number,course_title,credits,level,delivery,_merge_course
S1001,Avery,Nguyen,Mathematics,1st,27.0,Yes,Fall 2023,3.51,72,Dr. Moreno,E5001,C102,Spring 2026,Completed,96,65.0,65.0,94.7,both,STA,270,Applied Statistics,3,Undergraduate,Hybrid,both
S1001,Avery,Nguyen,Mathematics,1st,27.0,Yes,Fall 2023,3.51,72,Dr. Moreno,E5002,C106,Spring 2026,Completed,81,80.0,63.0,96.6,both,STA,556,Statistics and Data Science Computing Workflows,3,Graduate,In Person,both
S1001,Avery,Nguyen,Mathematics,1st,27.0,Yes,Fall 2023,3.51,72,Dr. Moreno,E5003,C103,Spring 2026,Completed,77,67.0,72.0,88.6,both,CS,126,Introduction to Computing,4,Undergraduate,In Person,both
S1002,Maya,Patel,Computer Science,1st,27.0,Yes,Spring 2026,2.71,108,Dr. Shah,E5004,C106,Fall 2025,Completed,86,,85.0,77.3,both,STA,556,Statistics and Data Science Computing Workflows,3,Graduate,In Person,both
S1002,Maya,Patel,Computer Science,1st,27.0,Yes,Spring 2026,2.71,108,Dr. Shah,E5005,C101,Fall 2025,Completed,90,55.0,79.0,85.8,both,STA,141,Exploratory Data Analysis,3,Undergraduate,In Person,both
S1003,Noah,Garcia,Mathematics,1st,18.0,Yes,Spring 2024,2.81,18,Dr. Reed,E5006,C102,Fall 2026,Enrolled,93,76.0,95.0,88.4,both,STA,270,Applied Statistics,3,Undergraduate,Hybrid,both
S1004,Sofia,Johnson,Computer Science,2nd,20.0,Yes,Spring 2026,3.05,63,Dr. Kim,E5007,C105,Spring 2026,Completed,98,73.0,88.0,89.5,both,STA,444,Statistical Computing,3,Undergraduate,Online,both
S1004,Sofia,Johnson,Computer Science,2nd,20.0,Yes,Spring 2026,3.05,63,Dr. Kim,E5008,C101,Fall 2025,Completed,87,58.0,,75.6,both,STA,141,Exploratory Data Analysis,3,Undergraduate,In Person,both
S1004,Sofia,Johnson,Computer Science,2nd,20.0,Yes,Spring 2026,3.05,63,Dr. Kim,E5009,C104,Fall 2026,Enrolled,93,79.0,73.0,92.3,both,MAT,239,Linear Algebra,3,Undergraduate,In Person,both
S1005,Ethan,Kim,Computer Science,4th,19.0,Yes,Spring 2025,,18,Dr. Kim,E5010,C101,Spring 2026,Completed,73,57.0,99.0,82.9,both,STA,141,Exploratory Data Analysis,3,Undergraduate,In Person,both
S1005,Ethan,Kim,Computer Science,4th,19.0,Yes,Spring 2025,,18,Dr. Kim,E5011,C108,Fall 2025,Completed,68,55.0,82.0,91.0,both,MAT,442,Probability,3,Undergraduate,Hybrid,both
S1006,Liam,Martinez,Statistics,3rd,27.0,Yes,Spring 2024,3.52,45,Dr. Moreno,E5012,C105,Fall 2026,Enrolled,75,,68.0,97.2,both,STA,444,Statistical Computing,3,Undergraduate,Online,both
S1006,Liam,Martinez,Statistics,3rd,27.0,Yes,Spring 2024,3.52,45,Dr. Moreno,E5013,C101,Fall 2026,Enrolled,98,81.0,82.0,80.0,both,STA,141,Exploratory Data Analysis,3,Undergraduate,In Person,both
S1007,Olivia,Brown,Statistics,2nd,22.0,No,Spring 2026,3.75,36,Dr. Kim,E5014,C103,Fall 2025,Completed,61,93.0,86.0,85.8,both,CS,126,Introduction to Computing,4,Undergraduate,In Person,both
S1007,Olivia,Brown,Statistics,2nd,22.0,No,Spring 2026,3.75,36,Dr. Kim,E5015,C106,Spring 2026,Completed,59,82.0,60.0,96.9,both,STA,556,Statistics and Data Science Computing Workflows,3,Graduate,In Person,both
S1008,Lucas,Wilson,Data Science,4th,27.0,Yes,Spring 2024,2.89,45,Dr. Shah,E5016,C104,Spring 2026,Completed,83,83.0,78.0,85.8,both,MAT,239,Linear Algebra,3,Undergraduate,In Person,both
S1008,Lucas,Wilson,Data Science,4th,27.0,Yes,Spring 2024,2.89,45,Dr. Shah,E5017,C102,Fall 2025,Completed,89,65.0,79.0,,both,STA,270,Applied Statistics,3,Undergraduate,Hybrid,both
S1008,Lucas,Wilson,Data Science,4th,27.0,Yes,Spring 2024,2.89,45,Dr. Shah,E5018,C101,Spring 2026,Completed,74,70.0,62.0,87.4,both,STA,141,Exploratory Data Analysis,3,Undergraduate,In Person,both
S1009,Emma,Chen,Data Science,3rd,27.0,Yes,Fall 2024,3.07,45,Dr. Moreno,E5019,C103,Fall 2026,Enrolled,84,61.0,81.0,74.4,both,CS,126,Introduction to Computing,4,Undergraduate,In Person,both
S1009,Emma,Chen,Data Science,3rd,27.0,Yes,Fall 2024,3.07,45,Dr. Moreno,E5020,C108,Spring 2026,Completed,73,,71.0,84.2,both,MAT,442,Probability,3,Undergraduate,Hybrid,both
S1010,Mateo,Davis,Data Science,4th,27.0,Yes,Fall 2023,2.59,24,Dr. Reed,E5021,C102,Fall 2026,Enrolled,74,97.0,81.0,79.5,both,STA,270,Applied Statistics,3,Undergraduate,Hybrid,both
S1010,Mateo,Davis,Data Science,4th,27.0,Yes,Fall 2023,2.59,24,Dr. Reed,E5022,C108,Fall 2026,Enrolled,66,70.0,100.0,72.1,both,MAT,442,Probability,3,Undergraduate,Hybrid,both
S1011,Isabella,Lopez,Statistics,2nd,18.0,Yes,Fall 2024,3.22,54,Dr. Reed,E5023,C108,Fall 2026,Enrolled,61,59.0,79.0,94.4,both,MAT,442,Probability,3,Undergraduate,Hybrid,both
S1012,Elijah,Clark,Data Science,4th,26.0,Yes,Fall 2025,3.31,72,Dr. Reed,E5024,C108,Fall 2026,Enrolled,66,76.0,66.0,78.0,both,MAT,442,Probability,3,Undergraduate,Hybrid,both
S1013,Amara,Taylor,Data Science,4th,,Yes,Spring 2024,2.77,108,Dr. Kim,E5025,C108,Fall 2025,Completed,83,70.0,,91.2,both,MAT,442,Probability,3,Undergraduate,Hybrid,both
S1013,Amara,Taylor,Data Science,4th,,Yes,Spring 2024,2.77,108,Dr. Kim,E5026,C104,Fall 2026,Enrolled,68,78.0,77.0,81.7,both,MAT,239,Linear Algebra,3,Undergraduate,In Person,both
